Htno,Sem,Subcode,Subname,Internal,External,Marks,Dept Name
15NG1A0558,1-2,R13209,ENGG. DRAWING,25,9,34,CSE
15NG1A0559,1-2,R13203,ENGG. PHYSICS,22,15,37,CSE
15NG1A0560,1-2,R13203,ENGG. PHYSICS,20,10,30,CSE
15NG1A0564,1-2,R13202,MATHEMATICS-III,21,28,49,CSE
15NG1A0566,1-2,R13203,ENGG. PHYSICS,20,8,28,CSE
15NG1A0568,1-2,R13202,MATHEMATICS-III,18,0,18,CSE
15NG1A0568,1-2,R13209,ENGG. DRAWING,20,0,20,CSE
15NG1A0572,1-2,R13202,MATHEMATICS-III,25,28,53,CSE
15NG1A0574,1-2,R13203,ENGG. PHYSICS,24,15,39,CSE
15NG1A0574,1-2,R13209,ENGG. DRAWING,23,6,29,CSE
15NG1A0576,1-2,R13203,ENGG. PHYSICS,17,12,29,CSE
15NG1A0577,1-2,R13203,ENGG. PHYSICS,21,14,35,CSE
15NG1A0579,1-2,R13201,ENGLISH-II,19,35,54,CSE
15NG1A0579,1-2,R13203,ENGG. PHYSICS,18,6,24,CSE
15NG1A0581,1-2,R13202,MATHEMATICS-III,24,10,34,CSE
15NG1A0581,1-2,R13203,ENGG. PHYSICS,20,2,22,CSE
15NG1A0581,1-2,R13207,MATHEMATICS-II (MM),17,29,46,CSE
15NG1A0585,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,27,53,80,CSE
15NG1A0589,1-2,R13202,MATHEMATICS-III,20,7,27,CSE
15NG1A0589,1-2,R13203,ENGG. PHYSICS,17,10,27,CSE
15NG1A0589,1-2,R13209,ENGG. DRAWING,2,0,2,CSE
15NG1A0590,1-2,R13203,ENGG. PHYSICS,15,11,26,CSE
15NG1A0591,1-2,R13201,ENGLISH-II,17,30,47,CSE
15NG1A0591,1-2,R13202,MATHEMATICS-III,24,7,31,CSE
15NG1A0591,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,10,34,CSE
15NG1A0591,1-2,R13209,ENGG. DRAWING,16,8,24,CSE
15NG1A0594,1-2,R13209,ENGG. DRAWING,15,34,49,CSE
15NG1A0596,1-2,R13202,MATHEMATICS-III,20,0,20,CSE
15NG1A0596,1-2,R13203,ENGG. PHYSICS,14,4,18,CSE
15NG1A0597,1-2,R13201,ENGLISH-II,17,32,49,CSE
15NG1A0597,1-2,R13202,MATHEMATICS-III,17,1,18,CSE
15NG1A0597,1-2,R13203,ENGG. PHYSICS,13,0,13,CSE
15NG1A0597,1-2,R13207,MATHEMATICS-II (MM),19,0,19,CSE
