htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0111,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,23,47,70,CE
15NG1A0111,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,22,44,66,CE
15NG1A0112,1-2 SEM,R13201,ENGLISH-II,23,58,81,CE
15NG1A0112,1-2 SEM,R13202,MATHEMATICS-III,27,49,76,CE
15NG1A0112,1-2 SEM,R13203,ENGG. PHYSICS,29,35,64,CE
15NG1A0112,1-2 SEM,R13207,MATHEMATICS-II (MM),28,65,93,CE
15NG1A0112,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,55,78,CE
15NG1A0112,1-2 SEM,R13209,ENGG. DRAWING,30,34,64,CE
15NG1A0112,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,48,72,CE
15NG1A0112,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,25,50,75,CE
15NG1A0112,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,23,46,69,CE
15NG1A0113,1-2 SEM,R13201,ENGLISH-II,19,19,38,CE
15NG1A0113,1-2 SEM,R13202,MATHEMATICS-III,28,16,44,CE
15NG1A0113,1-2 SEM,R13203,ENGG. PHYSICS,18,1,19,CE
15NG1A0113,1-2 SEM,R13207,MATHEMATICS-II (MM),18,7,25,CE
15NG1A0113,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,11,33,CE
15NG1A0113,1-2 SEM,R13209,ENGG. DRAWING,24,13,37,CE
15NG1A0113,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,42,65,CE
15NG1A0113,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,22,40,62,CE
15NG1A0113,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,22,44,66,CE
15NG1A0114,1-2 SEM,R13201,ENGLISH-II,18,43,61,CE
15NG1A0114,1-2 SEM,R13202,MATHEMATICS-III,24,41,65,CE
15NG1A0114,1-2 SEM,R13203,ENGG. PHYSICS,21,29,50,CE
15NG1A0114,1-2 SEM,R13207,MATHEMATICS-II (MM),21,48,69,CE
15NG1A0114,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,19,32,51,CE
15NG1A0114,1-2 SEM,R13209,ENGG. DRAWING,29,25,54,CE
15NG1A0114,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,48,71,CE
15NG1A0114,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,49,73,CE
15NG1A0114,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,25,50,75,CE
15NG1A0115,1-2 SEM,R13201,ENGLISH-II,22,25,47,CE
15NG1A0115,1-2 SEM,R13202,MATHEMATICS-III,27,43,70,CE
15NG1A0115,1-2 SEM,R13203,ENGG. PHYSICS,24,2,26,CE
15NG1A0115,1-2 SEM,R13207,MATHEMATICS-II (MM),28,58,86,CE
15NG1A0115,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,26,49,CE
15NG1A0115,1-2 SEM,R13209,ENGG. DRAWING,27,48,75,CE
15NG1A0115,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,44,67,CE
15NG1A0115,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,50,74,CE
15NG1A0115,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0117,1-2 SEM,R13201,ENGLISH-II,22,39,61,CE
15NG1A0117,1-2 SEM,R13202,MATHEMATICS-III,23,32,55,CE
